Кофе, чай, сок, молоко, эспрессо
Яблоко, груша, персик, банан, картофель
Красный, зеленый, синий, желтый, книга
Август, сентябрь, октябрь, понедельник, ноябрь
Собака, кошка, хомяк, мышь, клавиатура
Тетрадь, книга, ручка, карандаш, мороженое
Земля, Юпитер, Марс, Венера, космос
Шапка, шарф, перчатки, рубашка, джинсы
Круг, треугольник, квадрат, линейка, прямоугольник
Яйцо, молоко, мука, соль, сахар
Книга, журнал, компьютер, газета, рация
Чашка, блюдце, стакан, вилка, ложка
Майка, шорты, носки, галстук, пиджак
Курица, говядина, свинина, рыба, пицца
Шахматы, домино, карты, шарики, головоломка
Солнце, луна, звезда, планета, утро
Море, река, озеро, гора
Лампа, свеча, фонарь, солнце, фонарик
Учитель, врач, артист, писатель, стол
Парень, девушка, мужчина, женщина, родитель
